S_D_M;class;#groups;seeding;group_no;group_pos;for_main_round;for_consolation;startnumber_A;startnumber_B
S;M1;167;949;52;1;1;;1062;
S;M1;167;948;53;1;1;;1063;
S;M1;167;947;54;1;1;;1064;
S;M1;167;946;55;1;1;;1065;
S;M1;167;945;56;1;1;;1066;
S;M1;167;944;57;1;1;;1067;
S;M1;167;943;58;1;1;;1069;
S;M1;167;942;59;1;1;;1070;
S;M1;167;941;60;1;1;;1072;
S;M1;167;940;61;1;1;;1073;
S;M1;167;939;62;1;1;;1074;
S;M1;167;938;63;1;1;;1075;
S;M1;167;937;64;1;1;;1076;
S;M1;167;936;65;1;1;;1077;
S;M1;167;935;66;1;1;;1078;
S;M1;167;934;67;1;1;;1079;
S;M1;167;933;68;1;1;;1080;
S;M1;167;932;69;1;1;;1082;
S;M1;167;931;70;1;1;;1083;
S;M1;167;930;71;1;1;;1084;
S;M1;167;929;72;1;1;;1085;
S;M1;167;928;73;1;1;;1086;
S;M1;167;927;74;1;1;;1087;
S;M1;167;926;75;1;1;;1089;
S;M1;167;925;76;1;1;;1090;
S;M1;167;924;77;1;1;;1091;
S;M1;167;923;78;1;1;;1092;
S;M1;167;922;79;1;1;;1093;
S;M1;167;921;80;1;1;;1094;
S;M1;167;920;81;1;1;;1096;
S;M1;167;919;82;1;1;;1097;
S;M1;167;918;83;1;1;;1099;
S;M1;167;917;84;1;1;;1100;
S;M1;167;916;85;1;1;;1101;
S;M1;167;915;86;1;1;;1102;
S;M1;167;914;87;1;1;;1103;
S;M1;167;913;88;1;1;;1105;
S;M1;167;912;89;1;1;;1106;
S;M1;167;911;90;1;1;;1107;
S;M1;167;910;91;1;1;;1109;
S;M1;167;909;92;1;1;;1110;
S;M1;167;908;93;1;1;;1111;
S;M1;167;907;94;1;1;;1112;
S;M1;167;906;95;1;1;;1114;
S;M1;167;905;96;1;1;;1116;
S;M1;167;904;97;1;1;;1117;
S;M1;167;903;98;1;1;;1118;
S;M1;167;902;99;1;1;;1120;
S;M1;167;901;100;1;1;;1121;
S;M1;167;900;101;1;1;;1122;
S;M1;167;899;102;1;1;;1123;
S;M1;167;898;103;1;1;;1125;
S;M1;167;897;104;1;1;;1126;
S;M1;167;896;105;1;1;;1128;
S;M1;167;895;106;1;1;;1130;
S;M1;167;894;107;1;1;;1133;
S;M1;167;893;108;1;1;;1134;
S;M1;167;892;109;1;1;;1135;
S;M1;167;891;110;1;1;;1136;
S;M1;167;890;111;1;1;;1137;
S;M1;167;889;112;1;1;;1138;
S;M1;167;888;113;1;1;;1139;
S;M1;167;887;114;1;1;;1140;
S;M1;167;886;115;1;1;;1141;
S;M1;167;885;116;1;1;;1142;
S;M1;167;884;117;1;1;;1143;
S;M1;167;883;118;1;1;;1144;
S;M1;167;882;119;1;1;;1145;
S;M1;167;881;120;1;1;;1148;
S;M1;167;880;121;1;1;;1149;
S;M1;167;879;122;1;1;;1150;
S;M1;167;878;123;1;1;;1152;
S;M1;167;877;124;1;1;;1153;
S;M1;167;876;125;1;1;;1154;
S;M1;167;875;126;1;1;;1158;
S;M1;167;874;127;1;1;;1159;
S;M1;167;873;128;1;1;;1160;
S;M1;167;872;129;1;1;;1161;
S;M1;167;871;130;1;1;;1163;
S;M1;167;870;131;1;1;;1164;
S;M1;167;869;132;1;1;;1166;
S;M1;167;868;133;1;1;;1167;
S;M1;167;867;134;1;1;;1168;
S;M1;167;866;135;1;1;;1169;
S;M1;167;865;136;1;1;;1170;
S;M1;167;864;137;1;1;;1171;
S;M1;167;863;138;1;1;;1172;
S;M1;167;862;139;1;1;;1173;
S;M1;167;861;140;1;1;;1174;
S;M1;167;860;141;1;1;;1175;
S;M1;167;859;142;1;1;;1176;
S;M1;167;858;143;1;1;;1177;
S;M1;167;857;144;1;1;;1178;
S;M1;167;856;145;1;1;;1179;
S;M1;167;855;146;1;1;;1181;
S;M1;167;854;147;1;1;;1182;
S;M1;167;853;148;1;1;;1183;
S;M1;167;852;149;1;1;;1184;
S;M1;167;851;150;1;1;;1185;
S;M1;167;850;151;1;1;;1186;
S;M1;167;849;152;1;1;;1187;
S;M1;167;848;153;1;1;;1188;
S;M1;167;847;154;1;1;;1189;
S;M1;167;846;155;1;1;;1190;
S;M1;167;845;156;1;1;;1191;
S;M1;167;844;157;1;1;;1192;
S;M1;167;843;158;1;1;;1195;
S;M1;167;842;159;1;1;;1200;
S;M1;167;841;160;1;1;;1201;
S;M1;167;840;161;1;1;;1203;
S;M1;167;839;162;1;1;;1206;
S;M1;167;838;163;1;1;;1207;
S;M1;167;837;164;1;1;;1208;
S;M1;167;836;165;1;1;;1209;
S;M1;167;835;166;1;1;;1210;
S;M1;167;834;167;1;1;;1211;
S;M1;167;833;1;2;1;;1212;
S;M1;167;832;2;2;1;;1213;
S;M1;167;831;3;2;1;;1214;
S;M1;167;830;4;2;1;;1215;
S;M1;167;829;5;2;1;;1217;
S;M1;167;828;6;2;1;;1218;
S;M1;167;827;7;2;1;;1219;
S;M1;167;826;8;2;1;;1221;
S;M1;167;825;9;2;1;;1222;
S;M1;167;824;10;2;1;;1224;
S;M1;167;823;11;2;1;;1225;
S;M1;167;822;12;2;1;;1226;
S;M1;167;821;13;2;1;;1227;
S;M1;167;820;14;2;1;;1228;
S;M1;167;819;15;2;1;;1230;
S;M1;167;818;16;2;1;;1231;
S;M1;167;817;17;2;1;;1235;
S;M1;167;816;18;2;1;;1239;
S;M1;167;815;19;2;1;;1240;
S;M1;167;814;20;2;1;;1241;
S;M1;167;813;21;2;1;;1242;
S;M1;167;812;22;2;1;;1243;
S;M1;167;811;23;2;1;;1245;
S;M1;167;810;24;2;1;;1246;
S;M1;167;809;25;2;1;;1247;
S;M1;167;808;26;2;1;;1249;
S;M1;167;807;27;2;1;;1250;
S;M1;167;806;28;2;1;;1251;
S;M1;167;805;29;2;1;;1252;
S;M1;167;804;30;2;1;;1255;
S;M1;167;803;31;2;1;;1259;
S;M1;167;802;32;2;1;;1260;
S;M1;167;801;33;2;1;;1262;
S;M1;167;800;34;2;1;;1263;
S;M1;167;799;35;2;1;;1265;
S;M1;167;798;36;2;1;;1267;
S;M1;167;797;37;2;1;;1268;
S;M1;167;796;38;2;1;;1269;
S;M1;167;795;39;2;1;;1271;
S;M1;167;794;40;2;1;;1274;
S;M1;167;793;41;2;1;;1275;
S;M1;167;792;42;2;1;;1280;
S;M1;167;791;43;2;1;;1282;
S;M1;167;790;44;2;1;;1283;
S;M1;167;789;45;2;1;;1284;
S;M1;167;788;46;2;1;;1285;
S;M1;167;787;47;2;1;;1286;
S;M1;167;786;48;2;1;;1287;
S;M1;167;785;49;2;1;;1288;
S;M1;167;784;50;2;1;;1289;
S;M1;167;783;51;2;1;;1290;
S;M1;167;782;52;2;1;;1291;
S;M1;167;781;53;2;1;;1294;
S;M1;167;780;54;2;1;;1295;
S;M1;167;779;55;2;1;;1296;
S;M1;167;778;56;2;1;;1297;
S;M1;167;777;57;2;1;;1298;
S;M1;167;776;58;2;1;;1299;
S;M1;167;775;59;2;1;;1300;
S;M1;167;774;60;2;1;;1302;
S;M1;167;773;61;2;1;;1303;
S;M1;167;772;62;2;1;;1304;
S;M1;167;771;63;2;1;;1305;
S;M1;167;770;64;2;1;;1306;
S;M1;167;769;65;2;1;;1307;
S;M1;167;768;66;2;1;;1310;
S;M1;167;767;67;2;1;;1313;
S;M1;167;766;68;2;1;;1314;
S;M1;167;765;69;2;1;;1315;
S;M1;167;764;70;2;1;;1316;
S;M1;167;763;71;2;1;;1319;
S;M1;167;762;72;2;1;;1322;
S;M1;167;761;73;2;1;;1323;
S;M1;167;760;74;2;1;;1324;
S;M1;167;759;75;2;1;;1325;
S;M1;167;758;76;2;1;;1326;
S;M1;167;757;77;2;1;;1331;
S;M1;167;756;78;2;1;;1332;
S;M1;167;755;79;2;1;;1333;
S;M1;167;754;80;2;1;;1334;
S;M1;167;753;81;2;1;;1335;
S;M1;167;752;82;2;1;;1337;
S;M1;167;751;83;2;1;;1338;
S;M1;167;750;84;2;1;;1341;
S;M1;167;749;85;2;1;;1342;
S;M1;167;748;86;2;1;;1343;
S;M1;167;747;87;2;1;;1344;
S;M1;167;746;88;2;1;;1345;
S;M1;167;745;89;2;1;;1347;
S;M1;167;744;90;2;1;;1348;
S;M1;167;743;91;2;1;;1349;
S;M1;167;742;92;2;1;;1351;
S;M1;167;741;93;2;1;;1352;
S;M1;167;740;94;2;1;;1354;
S;M1;167;739;95;2;1;;1355;
S;M1;167;738;96;2;1;;1356;
S;M1;167;737;97;2;1;;1358;
S;M1;167;736;98;2;1;;1360;
S;M1;167;735;99;2;1;;1361;
S;M1;167;734;100;2;1;;1364;
S;M1;167;733;101;2;1;;1366;
S;M1;167;732;102;2;1;;1367;
S;M1;167;731;103;2;1;;1368;
S;M1;167;730;104;2;1;;1369;
S;M1;167;729;105;2;1;;1370;
S;M1;167;728;106;2;1;;1371;
S;M1;167;727;107;2;1;;1372;
S;M1;167;726;108;2;1;;1373;
S;M1;167;725;109;2;1;;1374;
S;M1;167;724;110;2;1;;1376;
S;M1;167;723;111;2;1;;1377;
S;M1;167;722;112;2;1;;1378;
S;M1;167;721;113;2;1;;1379;
S;M1;167;720;114;2;1;;1383;
S;M1;167;719;115;2;1;;1384;
S;M1;167;718;116;2;1;;1386;
S;M1;167;717;117;2;1;;1387;
S;M1;167;716;118;2;1;;1388;
S;M1;167;715;119;2;1;;1390;
S;M1;167;714;120;2;1;;1391;
S;M1;167;713;121;2;1;;1392;
S;M1;167;712;122;2;1;;1393;
S;M1;167;711;123;2;1;;1394;
S;M1;167;710;124;2;1;;1395;
S;M1;167;709;125;2;1;;1397;
S;M1;167;708;126;2;1;;1398;
S;M1;167;707;127;2;1;;1400;
S;M1;167;706;128;2;1;;1401;
S;M1;167;705;129;2;1;;1402;
S;M1;167;704;130;2;1;;1405;
S;M1;167;703;131;2;1;;1407;
S;M1;167;702;132;2;1;;1408;
S;M1;167;701;133;2;1;;1409;
S;M1;167;700;134;2;1;;1412;
S;M1;167;699;135;2;1;;1415;
S;M1;167;698;136;2;1;;1416;
S;M1;167;697;137;2;1;;1417;
S;M1;167;696;138;2;1;;1418;
S;M1;167;695;139;2;1;;1419;
S;M1;167;694;140;2;1;;1420;
S;M1;167;693;141;2;1;;1421;
S;M1;167;692;142;2;1;;1422;
S;M1;167;691;143;2;1;;1423;
S;M1;167;690;144;2;1;;1424;
S;M1;167;689;145;2;1;;1425;
S;M1;167;688;146;2;1;;1426;
S;M1;167;687;147;2;1;;1427;
S;M1;167;686;148;2;1;;1431;
S;M1;167;685;149;2;1;;1432;
S;M1;167;684;150;2;1;;1435;
S;M1;167;683;151;2;1;;1436;
S;M1;167;682;152;2;1;;1437;
S;M1;167;681;153;2;1;;1438;
S;M1;167;680;154;2;1;;1439;
S;M1;167;679;155;2;1;;1440;
S;M1;167;678;156;2;1;;1441;
S;M1;167;677;157;2;1;;1442;
S;M1;167;676;158;2;1;;1444;
S;M1;167;675;159;2;1;;1445;
S;M1;167;674;160;2;1;;1446;
S;M1;167;673;161;2;1;;1447;
S;M1;167;672;162;2;1;;1448;
S;M1;167;671;163;2;1;;1449;
S;M1;167;670;164;2;1;;1450;
S;M1;167;669;165;2;1;;1451;
S;M1;167;668;166;2;1;;1452;
S;M1;167;667;167;2;1;;1454;
S;M1;167;666;1;3;1;;1455;
S;M1;167;665;2;3;1;;1458;
S;M1;167;664;3;3;1;;1459;
S;M1;167;663;4;3;1;;1460;
S;M1;167;662;5;3;1;;1462;
S;M1;167;661;6;3;1;;1463;
S;M1;167;660;7;3;1;;1464;
S;M1;167;659;8;3;1;;1465;
S;M1;167;658;9;3;1;;1466;
S;M1;167;657;10;3;1;;1467;
S;M1;167;656;11;3;1;;1469;
S;M1;167;655;12;3;1;;1470;
S;M1;167;654;13;3;1;;1473;
S;M1;167;653;14;3;1;;1474;
S;M1;167;652;15;3;1;;1476;
S;M1;167;651;16;3;1;;1477;
S;M1;167;650;17;3;1;;1478;
S;M1;167;649;18;3;1;;1479;
S;M1;167;648;19;3;1;;1480;
S;M1;167;647;20;3;1;;1481;
S;M1;167;646;21;3;1;;1482;
S;M1;167;645;22;3;1;;1483;
S;M1;167;644;23;3;1;;1484;
S;M1;167;643;24;3;1;;1485;
S;M1;167;642;25;3;1;;1486;
S;M1;167;641;26;3;1;;1487;
S;M1;167;640;27;3;1;;1488;
S;M1;167;639;28;3;1;;1489;
S;M1;167;638;29;3;1;;1490;
S;M1;167;637;30;3;1;;1491;
S;M1;167;636;31;3;1;;1492;
S;M1;167;635;32;3;1;;1493;
S;M1;167;634;33;3;1;;1495;
S;M1;167;633;34;3;1;;1496;
S;M1;167;632;35;3;1;;1498;
S;M1;167;631;36;3;1;;1500;
S;M1;167;630;37;3;1;;1501;
S;M1;167;629;38;3;1;;1502;
S;M1;167;628;39;3;1;;1504;
S;M1;167;627;40;3;1;;1506;
S;M1;167;626;41;3;1;;1507;
S;M1;167;625;42;3;1;;1510;
S;M1;167;624;43;3;1;;1511;
S;M1;167;623;44;3;1;;1512;
S;M1;167;622;45;3;1;;1514;
S;M1;167;621;46;3;1;;1521;
S;M1;167;620;47;3;1;;1522;
S;M1;167;619;48;3;1;;1524;
S;M1;167;618;49;3;1;;1525;
S;M1;167;617;50;3;1;;1526;
S;M1;167;616;51;3;1;;1529;
S;M1;167;615;52;3;1;;1532;
S;M1;167;614;53;3;1;;1533;
S;M1;167;613;54;3;1;;1534;
S;M1;167;612;55;3;1;;1536;
S;M1;167;611;56;3;1;;1537;
S;M1;167;610;57;3;1;;1539;
S;M1;167;609;58;3;1;;1540;
S;M1;167;608;59;3;1;;1541;
S;M1;167;607;60;3;1;;1542;
S;M1;167;606;61;3;1;;1543;
S;M1;167;605;62;3;1;;1544;
S;M1;167;604;63;3;1;;1546;
S;M1;167;603;64;3;1;;1547;
S;M1;167;602;65;3;1;;1548;
S;M1;167;601;66;3;1;;1549;
S;M1;167;600;67;3;1;;1550;
S;M1;167;599;68;3;1;;1551;
S;M1;167;598;69;3;1;;1553;
S;M1;167;597;70;3;1;;1556;
S;M1;167;596;71;3;1;;1557;
S;M1;167;595;72;3;1;;1558;
S;M1;167;594;73;3;1;;1560;
S;M1;167;593;74;3;1;;1561;
S;M1;167;592;75;3;1;;1562;
S;M1;167;591;76;3;1;;1565;
S;M1;167;590;77;3;1;;1566;
S;M1;167;589;78;3;1;;1568;
S;M1;167;588;79;3;1;;1569;
S;M1;167;587;80;3;1;;1570;
S;M1;167;586;81;3;1;;1572;
S;M1;167;585;82;3;1;;1574;
S;M1;167;584;83;3;1;;1575;
S;M1;167;583;84;3;1;;1576;
S;M1;167;582;85;3;1;;1578;
S;M1;167;581;86;3;1;;1579;
S;M1;167;580;87;3;1;;1580;
S;M1;167;579;88;3;1;;1581;
S;M1;167;578;89;3;1;;1582;
S;M1;167;577;90;3;1;;1583;
S;M1;167;576;91;3;1;;1585;
S;M1;167;575;92;3;1;;1586;
S;M1;167;574;93;3;1;;1587;
S;M1;167;573;94;3;1;;1589;
S;M1;167;572;95;3;1;;1590;
S;M1;167;571;96;3;1;;1591;
S;M1;167;570;97;3;1;;1593;
S;M1;167;569;98;3;1;;1597;
S;M1;167;568;99;3;1;;1598;
S;M1;167;567;100;3;1;;1599;
S;M1;167;566;101;3;1;;1600;
S;M1;167;565;102;3;1;;1601;
S;M1;167;564;103;3;1;;1602;
S;M1;167;563;104;3;1;;1603;
S;M1;167;562;105;3;1;;1604;
S;M1;167;561;106;3;1;;1606;
S;M1;167;560;107;3;1;;1607;
S;M1;167;559;108;3;1;;1608;
S;M1;167;558;109;3;1;;1609;
S;M1;167;557;110;3;1;;1610;
S;M1;167;556;111;3;1;;1611;
S;M1;167;555;112;3;1;;1613;
S;M1;167;554;113;3;1;;1614;
S;M1;167;553;114;3;1;;1615;
S;M1;167;552;115;3;1;;1616;
S;M1;167;551;116;3;1;;1617;
S;M1;167;550;117;3;1;;1618;
S;M1;167;549;118;3;1;;1619;
S;M1;167;548;119;3;1;;1620;
S;M1;167;547;120;3;1;;1622;
S;M1;167;546;121;3;1;;1623;
S;M1;167;545;122;3;1;;1625;
S;M1;167;544;123;3;1;;1626;
S;M1;167;543;124;3;1;;1627;
S;M1;167;542;125;3;1;;1628;
S;M1;167;541;126;3;1;;1629;
S;M1;167;540;127;3;1;;1631;
S;M1;167;539;128;3;1;;1632;
S;M1;167;538;129;3;1;;1633;
S;M1;167;537;130;3;1;;1634;
S;M1;167;536;131;3;1;;1636;
S;M1;167;535;132;3;1;;1637;
S;M1;167;534;133;3;1;;1639;
S;M1;167;533;134;3;1;;1640;
S;M1;167;532;135;3;1;;1644;
S;M1;167;531;136;3;1;;1645;
S;M1;167;530;137;3;1;;1647;
S;M1;167;529;138;3;1;;1648;
S;M1;167;528;139;3;1;;1649;
S;M1;167;527;140;3;1;;1650;
S;M1;167;526;141;3;1;;1652;
S;M1;167;525;142;3;1;;1653;
S;M1;167;524;143;3;1;;1654;
S;M1;167;523;144;3;1;;1655;
S;M1;167;522;145;3;1;;1656;
S;M1;167;521;146;3;1;;1657;
S;M1;167;520;147;3;1;;1658;
S;M1;167;519;148;3;1;;1660;
S;M1;167;518;149;3;1;;1662;
S;M1;167;517;150;3;1;;1663;
S;M1;167;516;151;3;1;;1664;
S;M1;167;515;152;3;1;;1666;
S;M1;167;514;153;3;1;;1667;
S;M1;167;513;154;3;1;;1669;
S;M1;167;512;155;3;1;;1672;
S;M1;167;511;156;3;1;;1673;
S;M1;167;510;157;3;1;;1674;
S;M1;167;509;158;3;1;;1677;
S;M1;167;508;159;3;1;;1678;
S;M1;167;507;160;3;1;;1679;
S;M1;167;506;161;3;1;;1681;
S;M1;167;505;162;3;1;;1682;
S;M1;167;504;163;3;1;;1685;
S;M1;167;503;164;3;1;;1686;
S;M1;167;502;165;3;1;;1687;
S;M1;167;501;166;3;1;;1688;
S;M1;167;500;167;3;1;;1689;
S;M1;167;499;1;4;;1;1690;
S;M1;167;498;2;4;;1;1691;
S;M1;167;497;3;4;;1;1693;
S;M1;167;496;4;4;;1;1695;
S;M1;167;495;5;4;;1;1697;
S;M1;167;494;6;4;;1;1703;
S;M1;167;493;7;4;;1;1704;
S;M1;167;492;8;4;;1;1706;
S;M1;167;491;9;4;;1;1708;
S;M1;167;490;10;4;;1;1709;
S;M1;167;489;11;4;;1;1711;
S;M1;167;488;12;4;;1;1712;
S;M1;167;487;13;4;;1;1714;
S;M1;167;486;14;4;;1;1715;
S;M1;167;485;15;4;;1;1716;
S;M1;167;484;16;4;;1;1717;
S;M1;167;483;17;4;;1;1718;
S;M1;167;482;18;4;;1;1719;
S;M1;167;481;19;4;;1;1721;
S;M1;167;480;20;4;;1;1723;
S;M1;167;479;21;4;;1;1725;
S;M1;167;478;22;4;;1;1726;
S;M1;167;477;23;4;;1;1727;
S;M1;167;476;24;4;;1;1729;
S;M1;167;475;25;4;;1;1731;
S;M1;167;474;26;4;;1;1732;
S;M1;167;473;27;4;;1;1735;
S;M1;167;472;28;4;;1;1738;
S;M1;167;471;29;4;;1;1739;
S;M1;167;470;30;4;;1;1740;
S;M1;167;469;31;4;;1;1741;
S;M1;167;468;32;4;;1;1743;
S;M1;167;467;33;4;;1;1744;
S;M1;167;466;34;4;;1;1745;
S;M1;167;465;35;4;;1;1746;
S;M1;167;464;36;4;;1;1747;
S;M1;167;463;37;4;;1;1748;
S;M1;167;462;38;4;;1;1749;
S;M1;167;461;39;4;;1;1752;
S;M1;167;460;40;4;;1;1754;
S;M1;167;459;41;4;;1;1755;
S;M1;167;458;42;4;;1;1756;
S;M1;167;457;43;4;;1;1757;
S;M1;167;456;44;4;;1;1758;
S;M1;167;455;45;4;;1;1759;
S;M1;167;454;46;4;;1;1760;
S;M1;167;453;47;4;;1;1761;
S;M1;167;452;48;4;;1;1762;
S;M1;167;451;49;4;;1;1763;
S;M1;167;450;50;4;;1;1764;
S;M1;167;449;51;4;;1;1765;
S;M1;167;448;52;4;;1;1766;
S;M1;167;447;53;4;;1;1767;
S;M1;167;446;54;4;;1;1770;
S;M1;167;445;55;4;;1;1771;
S;M1;167;444;56;4;;1;1773;
S;M1;167;443;57;4;;1;1774;
S;M1;167;442;58;4;;1;1775;
S;M1;167;441;59;4;;1;1776;
S;M1;167;440;60;4;;1;1777;
S;M1;167;439;61;4;;1;1779;
S;M1;167;438;62;4;;1;1780;
S;M1;167;437;63;4;;1;1781;
S;M1;167;436;64;4;;1;1782;
S;M1;167;435;65;4;;1;1784;
S;M1;167;434;66;4;;1;1789;
S;M1;167;433;67;4;;1;1790;
S;M1;167;432;68;4;;1;1791;
S;M1;167;431;69;4;;1;1792;
S;M1;167;430;70;4;;1;1795;
S;M1;167;429;71;4;;1;1796;
S;M1;167;428;72;4;;1;1798;
S;M1;167;427;73;4;;1;1799;
S;M1;167;426;74;4;;1;1800;
S;M1;167;425;75;4;;1;1801;
S;M1;167;424;76;4;;1;1802;
S;M1;167;423;77;4;;1;1803;
S;M1;167;422;78;4;;1;1804;
S;M1;167;421;79;4;;1;1805;
S;M1;167;420;80;4;;1;1806;
S;M1;167;419;81;4;;1;1808;
S;M1;167;418;82;4;;1;1809;
S;M1;167;417;83;4;;1;1811;
S;M1;167;416;84;4;;1;1812;
S;M1;167;415;85;4;;1;1814;
S;M1;167;414;86;4;;1;1815;
S;M1;167;413;87;4;;1;1816;
S;M1;167;412;88;4;;1;1817;
S;M1;167;411;89;4;;1;1818;
S;M1;167;410;90;4;;1;1819;
S;M1;167;409;91;4;;1;1821;
S;M1;167;408;92;4;;1;1823;
S;M1;167;407;93;4;;1;1824;
S;M1;167;406;94;4;;1;1826;
S;M1;167;405;95;4;;1;1827;
S;M1;167;404;96;4;;1;1829;
S;M1;167;403;97;4;;1;1830;
S;M1;167;402;98;4;;1;1831;
S;M1;167;401;99;4;;1;1832;
S;M1;167;400;100;4;;1;1833;
S;M1;167;399;101;4;;1;1836;
S;M1;167;398;102;4;;1;1837;
S;M1;167;397;103;4;;1;1839;
S;M1;167;396;104;4;;1;1840;
S;M1;167;395;105;4;;1;1841;
S;M1;167;394;106;4;;1;1844;
S;M1;167;393;107;4;;1;1845;
S;M1;167;392;108;4;;1;1846;
S;M1;167;391;109;4;;1;1849;
S;M1;167;390;110;4;;1;1850;
S;M1;167;389;111;4;;1;1851;
S;M1;167;388;112;4;;1;1854;
S;M1;167;387;113;4;;1;1859;
S;M1;167;386;114;4;;1;1860;
S;M1;167;385;115;4;;1;1861;
S;M1;167;384;116;4;;1;1862;
S;M1;167;383;117;4;;1;1864;
S;M1;167;382;118;4;;1;1867;
S;M1;167;381;119;4;;1;1869;
S;M1;167;380;120;4;;1;1870;
S;M1;167;379;121;4;;1;1871;
S;M1;167;378;122;4;;1;1873;
S;M1;167;377;123;4;;1;1875;
S;M1;167;376;124;4;;1;1878;
S;M1;167;375;125;4;;1;1882;
S;M1;167;374;126;4;;1;1884;
S;M1;167;373;127;4;;1;1885;
S;M1;167;372;128;4;;1;1886;
S;M1;167;371;129;4;;1;1888;
S;M1;167;370;130;4;;1;1890;
S;M1;167;369;131;4;;1;1891;
S;M1;167;368;132;4;;1;1892;
S;M1;167;367;133;4;;1;1895;
S;M1;167;366;134;4;;1;1897;
S;M1;167;365;135;4;;1;1899;
S;M1;167;364;136;4;;1;1901;
S;M1;167;363;137;4;;1;1902;
S;M1;167;362;138;4;;1;1907;
S;M1;167;361;139;4;;1;1908;
S;M1;167;360;140;4;;1;1910;
S;M1;167;359;141;4;;1;1913;
S;M1;167;358;142;4;;1;1914;
S;M1;167;357;143;4;;1;1915;
S;M1;167;356;144;4;;1;1916;
S;M1;167;355;145;4;;1;1917;
S;M1;167;354;146;4;;1;1918;
S;M1;167;353;147;4;;1;1919;
S;M1;167;352;148;4;;1;1921;
S;M1;167;351;149;4;;1;1922;
S;M1;167;350;150;4;;1;1924;
S;M1;167;349;151;4;;1;1925;
S;M1;167;348;152;4;;1;1926;
S;M1;167;347;153;4;;1;1927;
S;M1;167;346;154;4;;1;1928;
S;M1;167;345;155;4;;1;1933;
S;M1;167;344;156;4;;1;1934;
S;M1;167;343;157;4;;1;1935;
S;M1;167;342;158;4;;1;1936;
S;M1;167;341;159;4;;1;1937;
S;M1;167;340;160;4;;1;1940;
S;M1;167;339;161;4;;1;1941;
S;M1;167;338;162;4;;1;1943;
S;M1;167;337;163;4;;1;1944;
S;M1;167;336;164;4;;1;1945;
S;M1;167;335;165;4;;1;1946;
S;M1;167;334;166;4;;1;1947;
S;M1;167;333;167;4;;1;1948;
S;M1;167;332;1;5;;1;1949;
S;M1;167;331;2;5;;1;1950;
S;M1;167;330;3;5;;1;1952;
S;M1;167;329;4;5;;1;1956;
S;M1;167;328;5;5;;1;1957;
S;M1;167;327;6;5;;1;1958;
S;M1;167;326;7;5;;1;1959;
S;M1;167;325;8;5;;1;1962;
S;M1;167;324;9;5;;1;1963;
S;M1;167;323;10;5;;1;1964;
S;M1;167;322;11;5;;1;1965;
S;M1;167;321;12;5;;1;1966;
S;M1;167;320;13;5;;1;1968;
S;M1;167;319;14;5;;1;1969;
S;M1;167;318;15;5;;1;1970;
S;M1;167;317;16;5;;1;1972;
S;M1;167;316;17;5;;1;1973;
S;M1;167;315;18;5;;1;1974;
S;M1;167;314;19;5;;1;1976;
S;M1;167;313;20;5;;1;1978;
S;M1;167;312;21;5;;1;1980;
S;M1;167;311;22;5;;1;1984;
S;M1;167;310;23;5;;1;1985;
S;M1;167;309;24;5;;1;1986;
S;M1;167;308;25;5;;1;1987;
S;M1;167;307;26;5;;1;1988;
